num_rooms,area,age,distance_city_center,price
3,162,27,14,107016
2,90,23,38,106753
3,289,6,41,184578
1,123,10,23,262463
2,173,19,49,225528
1,72,29,31,737148
4,206,30,16,562578
1,53,30,22,821878
3,275,6,46,892500
1,286,10,6,980879
4,190,33,44,360965
1,206,21,22,380109
1,125,30,23,445572
2,261,35,42,596395
2,215,35,13,268470
4,72,26,31,619708
3,258,10,18,382430
4,223,4,29,338453
2,258,1,20,344461
3,52,3,48,949214
3,56,23,35,474194
3,257,35,34,653920
3,214,4,10,553029
3,225,19,30,667749
2,283,17,15,323224
2,86,1,11,704896
4,80,28,33,318650
4,57,26,48,289193
3,266,39,27,596841
4,90,20,11,620917
3,261,4,12,853646
4,185,3,17,125110
1,93,7,35,159750
3,88,28,5,261713
3,79,29,14,757875
4,226,8,25,252828
1,283,17,38,354411
3,113,31,17,349867
4,135,13,40,487431
3,140,24,47,208069
2,156,39,13,993783
4,196,23,8,830064
1,180,39,42,867718
4,198,20,16,272938
1,222,26,37,138029
3,124,9,25,453353
2,198,19,13,605379
1,185,27,19,799688
4,135,17,42,373774
4,219,29,45,326777
4,278,35,6,547602
4,228,10,42,580725
3,217,26,36,524534
4,121,4,49,532079
4,124,15,5,732252
3,106,38,25,549493
1,144,26,13,235636
3,279,13,40,758755
2,204,33,10,700810
1,262,13,40,401110
3,230,21,44,683505
4,226,28,11,355709
1,250,32,27,998485
4,51,6,29,257332
1,52,21,47,304092
1,98,31,20,608348
2,118,24,7,142615
3,201,28,44,252474
2,64,12,44,303970
3,284,28,38,595205
2,188,24,31,503291
2,161,38,10,837094
3,59,1,24,731682
2,221,26,15,740298
3,159,1,24,402624
2,169,37,31,622110
4,289,30,19,686763
3,118,35,5,268285
4,234,25,7,175468
2,187,7,35,696143
4,162,7,48,298470
1,230,38,23,379901
2,52,4,19,766126
2,144,19,20,119109
1,293,7,40,689651
1,260,13,41,978949
4,247,29,15,770269
3,217,11,24,748667
2,264,33,28,358354
3,208,32,11,325077
4,267,13,22,779482
4,237,9,14,993521
3,145,22,49,592413
4,247,29,16,297797
1,102,26,23,178672
2,152,5,19,868398
1,166,14,34,509371
1,111,7,45,876233
2,124,37,32,579716
4,273,24,33,818384
2,100,39,34,552337
4,205,5,27,184194
1,100,1,33,624407
4,143,38,14,160892
4,200,25,13,876172
4,243,11,28,527359
4,144,23,43,994034
4,177,1,11,306081
3,216,25,37,927673
4,63,27,34,777780
1,183,17,22,563852
2,52,24,30,844991
2,51,15,37,591612
1,63,24,33,306836
4,59,31,12,465849
1,204,34,27,857514
4,243,35,46,662805
3,165,27,37,715565
4,91,6,14,985978
2,169,1,9,476315
2,160,13,11,434391
4,128,20,44,782017
2,78,8,32,460894
4,267,8,7,395850
1,268,28,9,935325
4,298,16,33,325482
2,297,20,11,596108
2,176,5,44,450798
3,204,37,32,739869
1,151,35,43,404054
4,286,29,35,500278
2,261,2,28,825422
4,285,22,15,343601
3,99,10,32,444697
3,114,11,10,190997
2,174,17,19,184455
2,277,22,39,732789
2,207,30,49,425901
3,183,7,45,116866
4,170,31,13,179560
3,281,21,44,430571
3,221,2,22,104720
1,203,31,20,441520
1,194,37,14,282485
1,250,6,22,266054
4,258,31,34,792601
1,207,1,18,916251
1,288,11,33,450339
1,232,17,12,776822
1,222,5,36,862610
1,137,36,35,859716
3,181,7,37,740730
3,264,12,29,249677
4,70,4,38,197606
2,222,17,44,618950
1,281,28,39,592226
2,232,30,28,302548
3,241,15,22,212767
3,251,10,19,597162
2,259,15,40,375330
3,140,18,30,702383
2,279,32,34,116542
4,68,16,40,207311
2,169,20,19,587939
4,190,4,14,906788
1,149,33,33,436488
3,57,24,23,398008
2,294,35,35,227391
3,259,39,48,514056
3,69,9,12,271421
4,98,4,44,471177
2,291,25,37,471339
2,160,33,16,905749
3,136,36,29,773293
2,235,12,38,912402
1,134,28,20,201119
1,245,12,48,721553
3,249,33,43,870872
4,118,37,32,748467
3,157,18,16,170522
2,221,31,24,898505
3,223,33,37,415519
4,204,35,45,588723
3,267,31,23,542713
2,213,16,37,623087
4,282,12,21,173460
4,118,33,24,749062
2,154,28,8,938553
1,265,9,20,546226
3,64,32,22,594484
2,180,23,48,992197
3,289,33,28,346703
2,110,32,6,691386
2,207,37,11,466850
2,62,28,14,422231
1,67,32,10,282079
3,204,22,17,348845
1,138,17,47,416143
2,194,12,11,516050
4,231,9,29,875232
1,106,24,16,627386
3,190,34,22,770116
2,107,36,38,307684
1,105,27,14,847090
1,246,16,20,304020
1,72,22,22,470314
4,144,33,38,277736
2,203,18,29,863962
1,162,16,5,628801
4,194,23,48,420684
3,87,4,30,923535
1,270,33,19,323856
3,288,32,28,525631
4,147,32,13,554056
2,238,36,22,712658
1,141,30,7,812721
4,69,24,6,914828
3,184,19,43,383138
2,258,12,5,552488
3,269,20,34,606778
1,282,7,27,119660
3,161,7,24,229244
2,235,20,39,952120
1,56,18,49,121694
2,204,25,6,167900
3,169,12,48,406692
3,239,15,27,855410
4,296,28,10,898154
2,144,28,18,763872
2,281,25,21,294422
1,142,21,13,772674
2,75,7,8,302434
2,71,35,5,665535
3,286,22,47,446039
4,244,25,6,407680
3,112,20,9,671490
2,75,15,19,915938
3,108,37,33,769631
4,52,1,13,922661
4,79,27,40,406421
1,256,26,21,138681
2,184,23,37,249629
3,112,37,18,682862
3,222,12,43,949828
3,115,21,43,745905
4,63,5,39,646513
3,114,22,10,885373
1,76,22,33,798339
1,97,4,45,224858
3,74,4,23,178649
1,236,15,14,267931
4,62,30,40,139014
2,288,26,30,506570
3,73,33,22,232930
2,220,5,8,258718
4,52,19,5,341599
3,52,27,48,547796
4,110,10,13,336495
3,256,34,35,822070
3,107,12,15,398507
4,169,21,11,548603
1,87,4,12,731146
2,274,7,32,666003
4,261,8,15,647764
2,290,39,15,374774
4,60,23,36,372088
3,207,33,19,961778
3,153,21,49,623096
3,162,16,30,278572
4,239,7,8,434729
2,84,25,31,515872
2,261,30,48,458339
2,261,22,48,140906
4,103,26,43,589878
3,290,37,28,101628
1,148,16,14,343252
1,156,36,42,581900
1,101,8,15,116335
3,101,28,27,545141
3,180,18,38,544803
2,175,35,32,699910
2,297,21,46,187740
3,192,26,45,626960
1,268,2,10,723223
1,276,25,10,532804
1,251,27,26,799785
4,90,25,25,551341
4,138,21,39,405205
3,173,30,28,298447
1,57,24,11,264697
4,209,33,35,515075
1,137,6,11,975714
1,278,36,48,212441
2,238,25,28,894548
2,61,8,28,233021
2,156,34,45,858312
3,136,5,13,193140
3,155,30,26,696245
4,218,22,40,221523
4,194,7,18,736661
4,287,4,14,240859
2,237,29,43,839489
4,171,15,25,541138
2,141,35,5,648986
1,233,21,47,936921
3,222,15,38,356755
4,265,1,36,612907
3,206,14,13,672977
2,117,9,28,827442
2,287,3,26,644324
4,133,39,25,101215
1,150,30,14,843056
1,278,38,38,677969
1,201,4,8,504343
3,288,35,21,579859
2,270,5,25,519826
3,127,29,17,140682
3,185,10,25,973828
1,103,29,12,268623
2,291,3,16,485075
1,180,6,10,148957
2,272,10,43,202853
3,93,26,37,586139
3,56,16,47,663638
2,80,17,35,183331
1,292,37,17,287976
4,282,32,9,415910
3,171,38,24,977997
2,152,34,34,812735
3,122,16,34,157012
3,61,12,37,997962
1,76,25,33,734266
2,271,29,48,378549
1,92,3,29,149442
1,246,19,8,844327
4,232,8,5,817225
3,159,14,35,128685
2,205,5,12,942642
1,199,28,46,482759
4,219,22,33,745645
1,248,21,14,418055
4,74,6,10,615411
1,95,8,41,358073
4,272,10,45,757916
3,129,23,15,614216
4,127,24,40,297588
3,146,18,34,858292
2,269,34,32,638710
2,110,27,18,589071
1,169,6,37,614949
3,162,23,35,804784
3,124,34,23,282289
1,176,39,15,627933
4,256,31,13,677471
1,155,13,38,863440
4,164,18,30,191147
1,290,2,23,708666
4,241,25,16,636459
1,76,6,31,127445
4,282,3,34,894897
1,243,18,7,764432
1,74,22,9,598772
3,203,35,5,608140
1,264,29,39,748899
4,263,5,18,526410
2,73,22,38,418825
4,254,2,40,114217
3,256,8,29,140367
1,68,36,26,919392
2,51,2,10,623033
1,182,32,5,757688
4,169,25,43,395997
4,193,9,40,400002
4,82,11,10,414218
2,116,12,9,986871
3,197,1,44,329680
4,180,39,49,458140
4,164,39,49,986019
3,84,20,42,404957
1,124,9,29,518947
4,256,22,26,773672
4,205,30,34,481724
2,137,37,20,548227
2,62,10,14,949271
4,232,24,32,391045
1,152,11,31,497409
4,167,26,11,512316
4,225,31,39,772234
1,226,28,16,883627
3,235,26,14,430387
4,187,33,26,361618
2,194,34,20,233809
1,240,11,21,466161
1,126,4,18,823336
4,53,4,40,570433
4,110,3,10,961796
2,147,22,14,988265
3,230,11,18,801431
3,79,1,34,345917
4,111,34,48,816929
1,77,25,46,366799
1,295,22,17,566732
2,64,29,13,825007
3,193,8,34,382586
3,161,36,28,742963
4,225,39,28,809605
4,117,36,18,685222
3,60,2,19,284732
2,195,22,13,704317
3,226,32,44,138342
4,117,4,44,719814
4,247,17,21,631958
2,184,17,23,766685
1,138,39,46,490838
4,294,9,31,936944
1,260,28,34,319916
4,206,24,45,428457
1,96,19,39,145759
1,253,38,36,682938
4,206,28,16,642129
4,108,5,34,728880
1,140,14,17,245823
3,214,8,30,194346
2,157,35,6,207628
2,221,4,12,282548
1,147,14,43,871394
2,52,29,35,588607
3,245,14,19,726621
2,278,17,45,257245
4,52,19,29,328322
2,147,35,25,600293
4,178,1,13,852287
4,66,6,19,634825
1,244,19,36,118344
1,115,10,22,643222
2,235,5,33,452486
2,292,10,17,688216
4,106,11,44,631189
3,293,29,38,244320
3,167,2,38,198973
1,172,30,33,437296
3,89,4,48,178920
4,160,3,26,103965
1,201,37,31,941526
3,145,21,10,268745
3,83,21,6,200297
4,230,38,30,257175
3,255,9,8,251150
2,91,11,40,226866
4,65,20,32,593345
2,190,25,15,699633
4,90,36,20,266498
1,177,32,5,794439
1,284,19,42,216497
4,192,33,16,369014
4,193,2,41,929279
1,216,39,40,612378
3,131,25,10,176059
4,181,10,11,324696
2,292,30,43,649034
1,172,39,43,819535
4,84,19,18,517874
4,282,19,22,376379
2,222,14,45,166310
2,265,36,26,938157
3,142,37,42,673443
2,253,6,7,292878
3,95,29,27,689215
1,244,28,39,842229
3,110,37,39,508746
2,224,11,45,690864
3,131,34,10,623041
4,258,38,47,576362
4,74,26,35,274904
3,221,29,24,330580
1,59,28,25,269536
2,226,12,17,219494
3,264,28,9,506256
2,205,35,41,528075
3,250,21,23,611837
4,243,7,27,243354
4,193,31,23,616645
1,252,3,12,128597
2,69,13,44,455935
1,151,35,28,248278
1,71,24,19,524017
1,260,30,27,546631
1,116,31,32,791935
1,168,27,49,897872
4,185,39,24,774363
3,195,33,23,965159
2,206,10,44,337260
4,93,39,46,552214
2,80,26,49,536139
3,246,23,43,569393
4,252,11,23,559360
3,186,31,34,646164
3,257,30,20,979563
1,217,26,38,661277
4,264,29,30,935839
3,211,28,36,763597
1,149,10,25,734515
4,183,18,37,442335
2,152,27,11,636881
2,279,36,36,464168
4,142,8,34,596255
3,107,8,44,863306
3,80,20,16,232636
1,50,32,15,709334
3,243,34,21,628960
4,173,10,28,930169
3,181,9,22,564657
3,274,10,22,317407
4,162,33,14,363205
1,216,27,14,535540
2,264,7,46,709760
2,122,38,24,641558
3,131,22,22,587694
4,270,29,30,367466
4,192,26,23,673378
2,163,18,25,464232
3,173,29,19,320726
4,227,13,18,192238
1,184,23,32,352777
1,201,14,33,324863
1,130,38,29,409543
3,106,15,21,244585
4,297,5,13,569723
1,116,7,31,127765
3,131,16,16,103626
2,160,20,31,233781
4,215,16,47,568996
1,287,35,6,129943
2,254,26,38,410801
2,84,20,42,121060
2,105,26,41,670140
3,86,2,47,641759
3,291,2,24,142112
4,139,22,31,178723
1,134,19,6,957747
3,159,17,39,668802
2,176,36,30,496712
1,89,5,42,115217
4,254,13,35,503220
1,137,31,28,802552
1,161,11,31,645022
3,236,22,20,306857
3,116,22,5,656806
4,221,4,6,358024
1,68,7,15,562830
1,192,5,7,820491
2,81,5,13,235626
4,299,7,30,532846
4,281,10,46,617902
3,97,39,47,608597
1,51,5,13,445931
2,155,20,15,256535
2,295,3,40,886215
3,102,37,11,305474
4,177,28,20,793339
3,182,36,11,873180
4,73,18,41,473222
2,85,38,21,917481
2,188,23,47,786574
1,108,20,25,941201
1,133,25,32,152884
4,235,18,10,848295
1,73,35,38,315178
4,250,20,21,449634
3,191,12,15,876701
2,185,31,8,229818
2,124,33,34,422346
3,134,3,29,164834
1,238,14,10,800170
4,171,17,31,169656
2,192,10,37,561397
2,204,35,37,168059
3,118,2,14,672622
2,134,32,7,889451
4,108,14,11,769365
3,213,24,36,843591
1,75,5,35,999888
2,206,3,43,899821
2,115,20,21,661065
2,76,6,23,683185
1,295,28,17,659587
4,199,9,5,669607
1,142,5,15,101179
2,220,16,27,145097
4,173,29,16,164615
1,174,4,17,136203
2,171,27,26,967138
2,230,9,25,822895
2,206,38,31,754177
4,214,29,24,256059
3,202,4,12,645619
2,83,5,11,721426
2,245,29,12,160879
2,86,24,31,287361
2,206,9,25,339389
1,245,20,5,784455
4,54,26,21,186337
3,90,13,35,315307
4,271,30,5,562279
3,100,37,12,494564
4,104,24,45,681451
2,285,17,19,724011
4,281,15,35,556843
1,140,2,11,599112
1,231,1,49,167158
3,248,9,42,406908
2,297,28,21,928095
3,198,35,28,930466
2,133,8,27,258328
4,97,25,34,883962
2,146,21,27,799523
1,66,28,47,168169
2,184,37,27,201664
4,170,14,9,219881
1,289,37,44,239750
3,292,36,48,647110
3,286,14,29,377248
2,213,39,45,821697
3,89,28,10,531613
4,239,26,47,454230
3,258,28,26,651608
4,295,31,15,737230
4,222,14,32,611605
2,131,21,11,761467
3,160,39,29,227190
4,135,16,49,557560
4,137,2,13,183019
3,99,10,8,886669
1,271,17,42,773302
2,239,4,32,670888
3,138,29,26,996394
2,109,13,37,585670
2,121,23,5,859381
4,137,30,8,955566
3,254,25,17,151055
1,83,11,37,954080
4,72,21,26,613289
4,236,31,44,362781
3,201,4,35,341789
1,168,38,28,496631
3,88,36,20,571463
4,269,19,10,314227
3,256,37,7,765919
2,176,32,14,172449
2,71,27,49,145845
3,176,4,18,874811
2,51,24,25,307857
4,180,7,43,845588
1,116,20,27,878589
3,183,32,39,304494
3,63,19,38,283388
2,225,6,15,391107
2,285,1,33,596461
3,272,12,40,697975
4,163,7,48,912105
3,293,1,7,483844
1,118,28,49,273723
2,223,31,23,301946
1,148,33,15,948767
2,225,13,36,457530
3,155,4,48,879169
3,241,2,8,232454
3,191,34,29,755185
4,189,25,5,853840
4,295,9,40,863767
4,184,26,24,775534
3,127,28,46,550018
2,209,16,13,582149
4,77,1,36,791503
1,72,38,15,148682
3,87,8,49,565943
1,66,3,28,424944
4,153,39,40,829807
2,270,6,7,404844
3,272,36,8,962962
2,268,4,38,226951
3,282,11,43,331281
4,73,16,14,533032
2,155,4,39,192185
4,52,36,29,643416
2,227,3,37,208325
3,205,25,9,592872
1,171,19,43,467690
1,221,12,15,219345
2,267,26,33,999446
4,75,31,46,462557
3,197,26,42,803350
3,296,4,6,389007
4,208,30,34,994115
4,292,16,12,259246
3,250,26,5,141731
3,75,38,20,438194
1,266,24,13,158156
3,105,27,26,825798
4,68,34,30,548213
1,174,34,14,330618
2,61,21,26,940738
4,207,23,6,816649
4,101,29,31,692179
4,83,7,47,321275
2,174,31,40,172536
3,156,13,13,889689
2,161,3,24,837936
2,183,23,7,769709
3,239,38,6,344508
4,287,15,45,664408
2,139,1,30,188919
4,191,17,23,716803
1,275,30,28,962939
2,279,24,48,437047
3,261,6,7,658301
2,261,24,5,116943
1,270,11,11,362809
1,208,8,38,801672
1,128,20,33,781106
4,193,22,32,243018
1,292,16,10,902006
3,224,28,15,691326
3,253,26,21,552827
3,166,37,19,228612
3,197,25,36,358436
2,244,39,8,346534
4,122,24,37,254754
1,128,32,42,682916
3,134,11,11,932883
4,235,16,5,191586
3,253,32,9,118991
2,187,26,11,518141
1,235,16,14,180630
2,218,13,30,555696
1,137,10,8,215697
1,229,2,29,192993
1,192,28,29,440341
1,157,8,36,567330
3,83,5,5,735870
1,119,35,5,328503
3,170,35,31,227042
2,266,12,14,257420
3,181,5,21,983052
4,188,27,18,903017
1,282,29,22,214960
1,125,28,10,146665
1,132,25,10,638629
4,94,28,22,529929
1,75,3,30,908718
2,79,6,12,744957
2,131,4,41,892153
1,52,21,8,524568
3,169,33,23,856893
4,220,18,40,107700
2,94,24,12,934505
1,261,25,23,115704
1,156,39,32,349732
1,267,20,34,538039
1,51,21,36,863550
2,289,23,22,597116
3,61,22,8,408826
1,124,17,48,714749
4,127,4,28,715472
2,86,3,44,818864
1,170,25,31,117116
1,209,29,48,893357
4,203,30,22,584443
1,245,23,22,676928
2,233,36,5,130696
2,84,12,21,594231
3,295,38,16,230450
1,244,3,16,976872
4,225,10,44,967612
2,283,4,26,583622
4,79,32,22,157686
3,234,20,14,774559
1,146,25,24,733868
3,173,18,40,899270
3,275,31,10,526742
2,52,37,45,483183
4,201,35,20,602126
2,295,23,40,714221
1,64,35,36,951440
1,139,36,36,897570
2,283,17,15,610689
4,198,25,11,795115
4,67,27,17,555469
4,232,38,10,932926
2,62,38,29,608848
3,60,31,28,714439
2,55,4,13,862758
3,149,30,18,989868
1,259,34,23,495116
4,234,27,46,954724
3,206,31,10,100466
4,206,12,39,398917
1,142,15,8,744938
1,194,8,35,456902
3,258,12,14,997237
1,69,9,27,134186
3,123,28,44,491055
4,169,14,37,575048
4,235,11,19,154817
4,68,27,17,703263
3,207,27,26,444542
3,138,36,45,336155
4,283,8,7,797115
3,212,28,30,159097
4,99,26,45,604704
4,169,7,25,516821
1,283,13,22,470193
1,259,27,23,369601
4,193,6,34,792491
2,73,29,38,872737
4,284,22,27,274290
2,179,32,16,921803
4,137,5,43,577513
2,197,32,21,860815
4,147,8,20,598689
2,116,31,46,465367
3,122,19,5,765667
1,269,39,21,305524
2,50,11,37,388497
3,195,20,11,452092
2,197,3,49,790788
3,104,20,46,194204
4,140,12,35,557553
4,249,8,46,997712
3,160,9,17,928826
1,86,28,15,485469
2,261,21,13,826123
4,212,3,31,154442
4,96,39,28,982221
1,200,38,38,468994
3,104,7,14,475376
3,175,1,45,353115
4,122,22,20,613131
2,267,37,28,297353
2,262,34,25,443094
2,141,16,24,741135
3,236,34,20,748172
2,80,26,15,303994
3,190,30,37,340992
2,238,33,30,155625
3,277,1,26,450781
4,225,21,23,264702
4,114,28,24,625288
4,168,14,46,523608
3,280,23,49,416485
3,110,28,26,605616
3,118,37,32,914131
4,289,2,5,840099
1,265,13,43,567541
1,299,14,21,524716
3,145,18,42,153945
4,201,9,28,900027
2,59,7,7,323112
4,94,2,10,403355
2,280,31,30,575649
2,134,33,6,751629
3,72,39,41,229147
2,160,13,44,373253
1,144,30,28,487357
3,273,36,13,268183
4,215,10,27,323973
3,91,31,28,252809
3,271,35,35,948194
2,288,2,24,476006
2,232,12,7,489709
2,237,37,48,724188
4,221,29,14,137194
1,176,16,34,422648
4,254,26,31,920293
4,146,14,28,218182
4,134,33,49,166033
2,284,15,31,940191
2,83,30,31,568943
3,112,19,17,542749
3,174,10,49,814903
4,60,16,30,995069
2,154,9,44,321201
2,127,4,12,748129
1,162,28,40,284389
4,66,38,27,334660
3,251,25,30,260118
3,190,26,25,644558
2,204,29,5,101657
1,52,22,22,325992
4,109,38,28,890515
1,134,33,21,835271
2,72,26,38,876904
1,240,12,14,436634
4,182,2,15,108241
1,82,11,25,683434
4,266,23,35,291672
4,259,4,11,799800
1,227,22,45,665641
2,282,2,33,727229
4,97,18,43,822192
3,90,38,42,874068
2,268,6,26,272587
2,294,32,7,914560
3,66,29,41,720071
1,280,20,13,217424
3,189,12,31,831664
3,160,18,5,782597
2,51,31,20,496138
4,298,1,33,758296
3,296,13,23,780695
4,151,4,19,616803
3,249,17,37,742467
2,261,27,20,194140
1,57,7,37,321577
2,148,12,36,759772
2,173,29,36,995358
4,145,2,32,200394
4,96,3,42,316725
4,81,16,7,784253
4,250,39,19,628584
1,184,29,24,915552
4,296,34,23,959635
4,132,28,46,229423
4,242,39,48,222769
3,69,16,36,352413
2,150,25,16,921893
4,174,16,21,415753
3,93,9,39,307673
3,263,22,24,228222
2,124,32,43,556779
1,239,34,48,392606
2,200,18,26,313003
1,77,3,31,167715
4,281,21,49,915485
1,89,27,18,990295
1,218,13,39,686543
3,72,13,45,676500
3,156,3,34,433514
3,294,12,12,975825
3,58,11,31,572557
1,123,27,35,826840
4,236,8,21,453700
3,192,17,42,303741
3,111,11,6,264443
4,128,16,12,666374
3,232,22,43,308430
3,260,27,20,614764
1,100,7,31,399157
3,142,4,20,169428
2,223,20,27,778597
1,127,27,48,528565
3,183,37,13,673810
4,111,33,39,102583
1,79,38,32,880606
2,186,15,18,571534
2,235,37,47,475115
2,122,8,15,687341
1,272,36,30,942978
1,183,34,26,844042
3,167,29,28,906373
4,179,15,22,206070
4,273,8,18,164786
3,266,11,5,894838
3,69,2,33,959623
3,131,3,41,211932
3,123,8,8,170944
4,128,36,9,258574
2,114,20,37,945057
4,197,35,36,452817
4,213,9,15,431005
4,185,6,36,865112
2,141,14,46,217503
2,266,34,11,431991
2,133,3,10,557021
4,131,15,29,642738
3,168,16,38,857419
2,140,12,33,636308
3,141,12,28,648648
1,269,9,20,402342
3,190,2,22,858239
2,247,22,11,969803
3,182,19,44,255775
3,238,30,14,588300
4,184,11,48,648233
3,139,17,35,231576
2,252,14,24,215258
4,226,23,18,281755
4,271,35,34,595053
4,252,21,30,574880
2,67,9,7,823199
4,62,17,41,370688
4,129,4,47,532431
4,229,19,45,977340
2,183,10,12,926742
1,91,10,39,764510
3,226,4,11,172439
3,278,35,38,286836
4,113,29,10,390872
3,219,11,39,673370
4,72,14,40,506669
4,53,32,28,991723
3,247,24,10,189582
4,117,33,31,358984
3,63,22,5,780677
1,168,7,33,379595
3,70,16,39,808750
1,255,1,25,566298
4,193,22,10,412843
4,257,10,15,491625
